state_code,county_code,same_num,same_rate,similar_rate,long_name
US,0,186595,0.8439,0.8821,Nationwide
AK,2020,25,0.88,0.9421487603305785,Anchorage Municipality
AK,2090,2,1,0.9183673469387755,Fairbanks North Star Borough
AK,2110,1,1,0.9565217391304348,Juneau City and Borough
AK,2122,3,1,1,Kenai Peninsula Borough
AK,2170,8,0.875,0.9197080291970803,Matanuska-Susitna Borough
AK,2185,1,1,1,North Slope Borough
AK,2220,1,1,0.875,Sitka City and Borough
AL,1001,2,1,0.9130434782608695,Autauga County
AL,1003,16,0.6875,0.844559585,Baldwin County
AL,1005,3,0,0.2,Barbour County
AL,1009,2,0.5,0.5454545454545454,Blount County
AL,1011,1,1,1,Bullock County
AL,1015,5,1,0.6086956521739131,Calhoun County
AL,1021,3,0.6666666666666666,0.5652173913043478,Chilton County
AL,1027,1,0,0.5,Clay County
AL,1031,11,0.9090909090909091,0.8918918918918919,Coffee County
AL,1043,4,1,0.8076923076923077,Cullman County
AL,1047,1,1,0.5,Dallas County
AL,1049,2,1,0.6428571428571429,DeKalb County
AL,1051,2,0.5,0.7446808510638298,Elmore County
AL,1053,1,1,0.7692307692307693,Escambia County
AL,1061,1,1,0.6363636363636364,Geneva County
AL,1067,1,0,1,Henry County
AL,1069,2,1,0.8222222222222222,Houston County
AL,1071,3,0.3333333333333333,0.8125,Jackson County
AL,1073,27,0.8148148148148148,0.8979591836734694,Jefferson County
AL,1075,1,1,1,Lamar County
AL,1077,3,0.6666666666666666,0.8666666666666667,Lauderdale County
AL,1079,1,0,0.6666666666666666,Lawrence County
AL,1081,6,0.6666666666666666,0.8602150537634409,Lee County
AL,1083,9,0.2222222222222222,0.8529411764705882,Limestone County
AL,1087,1,0,0,Macon County
AL,1089,22,0.8636363636363636,0.9034267912772586,Madison County
AL,1091,1,0,1,Marengo County
AL,1093,1,0,0.14285714285714285,Marion County
AL,1095,4,1,0.8285714285714286,Marshall County
AL,1097,10,0.7,0.8016528925619835,Mobile County
AL,1101,3,0,0.8414634146341463,Montgomery County
AL,1103,5,0.4,0.8181818181818182,Morgan County
AL,1109,3,0,0.7142857142857143,Pike County
AL,1111,2,0.5,0.8,Randolph County
AL,1113,2,0.5,0.8461538461538461,Russell County
AL,1115,6,0.6666666666666666,0.8125,St. Clair County
AL,1117,7,0.8571428571428571,0.8229166666666666,Shelby County
AL,1121,5,0.2,0.4166666666666667,Talladega County
AL,1125,5,0.8,0.7368421052631579,Tuscaloosa County
AL,1127,2,0,0.6666666666666666,Walker County
AL,1133,1,0,0.8333333333333334,Winston County
AR,5007,18,0.9444444444444444,0.9324894514767933,Benton County
AR,5015,1,1,1,Carroll County
AR,5017,1,1,0.5,Chicot County
AR,5021,1,1,0.5,Clay County
AR,5023,3,0,0.6,Cleburne County
AR,5027,2,1,0.2857142857142857,Columbia County
AR,5029,1,1,0.6666666666666666,Conway County
AR,5031,4,0.75,0.8627450980392157,Craighead County
AR,5033,3,1,0.7941176470588235,Crawford County
AR,5035,1,1,0.75,Crittenden County
AR,5045,6,0.5,0.8153846153846154,Faulkner County
AR,5047,2,1,0.5714285714285714,Franklin County
AR,5051,9,0.5555555555555556,0.8095238095238095,Garland County
AR,5053,1,1,0.75,Grant County
AR,5059,1,0,0.13333333333333333,Hot Spring County
AR,5063,1,1,0.8333333333333334,Independence County
AR,5069,1,0,0.5,Jefferson County
AR,5071,1,1,0.8571428571428571,Johnson County
AR,5081,1,1,0.5,Little River County
AR,5085,2,1,0.9117647058823529,Lonoke County
AR,5091,3,0.3333333333333333,0.8,Miller County
AR,5093,1,1,0,Mississippi County
AR,5099,1,1,0.3333333333333333,Nevada County
AR,5115,1,1,0.92,Pope County
